1 0.24 79.69 2.99 [69]
2 0.3 81.7 6.22 [70]
3 0.31 78.17 4.74 [71]
4 0.34 83.80 3.66 [69]
5 0.35 82.70 8.40 [72]
6 0.36 79.93 3.39 [71]
7 0.38 81.50 1.90 [73]
8 0.40 82.04 2.03 [71]
9 0.43 86.45 3.68 [69]
10 0.44 84.81 1.83 [71]
11 0.48 87.79 2.03 [71]
12 0.51 90.40 1.90 [73]
13 0.52 94.35 2.65 [71]
14 0.56 93.33 2.32 [71]
15 0.57 96.80 3.40 [74]
16 0.59 98.48 3.19 [71]
17 0.6 87.90 6.10 [75]
18 0.61 97.30 2.10 [73]
19 0.64 98.82 2.99 [71]
20 0.73 97.30 7.00 [75]
21 0.978 113.72 14.63 [76]
22 1.23 131.44 12.42 [76]
23 1.526 148.11 12.71 [76]
24 1.944 172.63 14.79 [76]
25 2.3 224.00 8.00 [77]
26 2.33 224.00 8.00 [78]
27 2.34 222.00 7.00 [79]
28 2.36 226.00 8.00 [80]
