1 0.07 69.0 19.6 [63]
2 0.1 69.0 12.0 [64]
3 0.12 68.6 26.2 [63]
4 0.17 83.0 8.0 [64]
5 0.1797 81.0 5.0 [65]
6 0.1993 81.0 6.0 [65]
7 0.2 72.9 29.6 [63]
8 0.27 77.0 14.0 [64]
9 0.28 88.8 36.6 [63]
10 0.3519 88.0 16.0 [65]
11 0.3802 89.2 14.1 [66]
12 0.4 95.0 17.0 [64]
13 0.4004 82.8 10.6 [66]
14 0.4247 93.7 11.7 [66]
15 0.4293 91.8 5.3 [66]
16 0.4497 99.7 13.4 [66]
17 0.47 89.0 49.65 [67]
18 0.4783 80.9 9.0 [66]
19 0.48 97.0 60.0 [64]
20 0.5929 110.0 15.0 [65]
21 0.6797 98.0 10.0 [65]
22 0.7812 88.0 11.0 [65]
23 0.8754 124.0 17.0 [65]
24 0.88 90.0 40.0 [64]
25 0.9 117.0 23.0 [64]
26 1.037 113.0 15.0 [65]
27 1.3 168.0 17.0 [64]
28 1.363 160.0 33.6 [68]
29 1.43 177.0 18.0 [64]
30 1.53 140.0 14.0 [64]
31 1.75 202.0 40.0 [64]
32 1.965 186.5 50.4 [68]
